AnimeIndex,AnimeName,AnimeYear,AnimeImage
0,Tetsuwan Atom (Astro Boy),1963,https://cdn.myanimelist.net/images/anime/10/79582l.jpg
1,Cyborg 009,1966,https://cdn.myanimelist.net/images/anime/3/76035l.jpg
2,Tiger Mask,1969,https://cdn.myanimelist.net/images/anime/8/71351l.jpg
3,Ashita no Joe,1970,https://cdn.myanimelist.net/images/anime/5/64671.jpg
4,Konchuu Monogatari Minashigo Hutch,1970,https://cdn.myanimelist.net/images/anime/12/6900l.jpg
5,Akakichi no Eleven,1970,https://cdn.myanimelist.net/images/anime/4/23205l.jpg
6,Kick no Oni,1970,https://cdn.myanimelist.net/images/anime/1578/113488l.jpg
7,Gegege no Kitarou,1971,https://cdn.myanimelist.net/images/anime/6/27399l.jpg
8,Lupin III,1971,https://cdn.myanimelist.net/images/anime/10/15625.jpg
9,Kagaku Ninja-tai Gatchaman,1972,https://cdn.myanimelist.net/images/anime/8/55411l.jpg
10,Devilman,1972,https://cdn.myanimelist.net/images/anime/2/86660l.jpg
11,Umi no Triton,1972,https://cdn.myanimelist.net/images/anime/12/85304l.jpg
12,Mazinger Z,1973,https://cdn.myanimelist.net/images/anime/3/21724l.jpg
13,Shinzou Ningen Casshern,1973,https://cdn.myanimelist.net/images/anime/7/60395l.jpg
14,Ace wo Nerae!,1973,https://cdn.myanimelist.net/images/anime/1414/91264.jpg
15,Dororon Enma-kun,1973,https://cdn.myanimelist.net/images/anime/9/28204l.jpg
16,Samurai Giants,1973,https://cdn.myanimelist.net/images/anime/11/27421.jpg
17,Doraemon,1973,https://cdn.myanimelist.net/images/anime/1389/109531l.jpg
18,Alps no Shoujo Heidi,1974,https://cdn.myanimelist.net/images/anime/1/2420l.jpg
19,Hurricane Polymar,1974,https://cdn.myanimelist.net/images/anime/9/60393.jpg
20,Great Mazinger,1974,https://cdn.myanimelist.net/images/anime/3/51991l.jpg
21,Getter Robo,1974,https://cdn.myanimelist.net/images/anime/12/6039l.jpg
22,Flanders no Inu,1975,https://cdn.myanimelist.net/images/anime/8/60825l.jpg
23,Yuusha Raideen,1975,https://cdn.myanimelist.net/images/anime/1962/119355l.jpg
